"Provinsi","Kota","Jumlah AHH","AHH","Jumlah RLS","RLS","Jumlah HLS","HLS","Pengeluaran","PPK","Jumlah IPM","IPM"
"Papua ","Jayapura","70.23","Tinggi","10.32","Tinggi","14.58","Tinggi","  10,671.00 ","Tinggi","73.50","=IF(K489>=80,""Sangat Tinggi"",IF(K489>=70,""Tinggi"",IF(K489>=60,""Sedang"",""Rendah"")))"
"Papua ","Nabire","69.82","Sedang","10.33","Tinggi","12.64","Tinggi","  9,381.00 ","Sedang","70.84","=IF(K490>=80,""Sangat Tinggi"",IF(K490>=70,""Tinggi"",IF(K490>=60,""Sedang"",""Rendah"")))"
"Papua ","Kepulauan Yapen","70.72","Tinggi","9.7","Sedang","12.81","Tinggi","  8,091.00 ","Sedang","69.11","=IF(K491>=80,""Sangat Tinggi"",IF(K491>=70,""Tinggi"",IF(K491>=60,""Sedang"",""Rendah"")))"
"Papua ","Biak Numfor","70.75","Tinggi","10.54","Tinggi","14.22","Tinggi","  10,229.00 ","Tinggi","73.46","=IF(K492>=80,""Sangat Tinggi"",IF(K492>=70,""Tinggi"",IF(K492>=60,""Sedang"",""Rendah"")))"
"Papua ","Paniai","69.49","Sedang","4.79","Rendah","10.53","Sedang","  6,977.00 ","Rendah","57.91","=IF(K493>=80,""Sangat Tinggi"",IF(K493>=70,""Tinggi"",IF(K493>=60,""Sedang"",""Rendah"")))"
"Papua ","Puncak Jaya","67.77","Sedang","4.23","Rendah","7.51","Rendah","  5,731.00 ","Rendah","50.81","=IF(K494>=80,""Sangat Tinggi"",IF(K494>=70,""Tinggi"",IF(K494>=60,""Sedang"",""Rendah"")))"
"Papua ","Mimika","72.83","Tinggi","10.47","Tinggi","12.96","Tinggi","  12,076.00 ","Tinggi","75.91","=IF(K495>=80,""Sangat Tinggi"",IF(K495>=70,""Tinggi"",IF(K495>=60,""Sedang"",""Rendah"")))"
"Papua ","Boven Digoel","68.9","Sedang","9.25","Sedang","11.43","Sedang","  8,396.00 ","Sedang","63.46","=IF(K496>=80,""Sangat Tinggi"",IF(K496>=70,""Tinggi"",IF(K496>=60,""Sedang"",""Rendah"")))"
"Papua ","Mappi","66.23","Sedang","6.95","Rendah","11.04","Sedang","  6,821.00 ","Rendah","60.57","=IF(K497>=80,""Sangat Tinggi"",IF(K497>=70,""Tinggi"",IF(K497>=60,""Sedang"",""Rendah"")))"
"Papua ","Asmat","67.84","Sedang","5.58","Rendah","9.7","Sedang","  6,057.00 ","Rendah","53.19","=IF(K498>=80,""Sangat Tinggi"",IF(K498>=70,""Tinggi"",IF(K498>=60,""Sedang"",""Rendah"")))"
"Papua ","Yahukimo","66.42","Sedang","4.34","Rendah","8.04","Rendah","  5,351.00 ","Rendah","51.19","=IF(K499>=80,""Sangat Tinggi"",IF(K499>=70,""Tinggi"",IF(K499>=60,""Sedang"",""Rendah"")))"
"Papua ","Pegunungan Bintang","65.93","Sedang","3.37","Rendah","6.78","Rendah","  5,849.00 ","Rendah","48.18","=IF(K500>=80,""Sangat Tinggi"",IF(K500>=70,""Tinggi"",IF(K500>=60,""Sedang"",""Rendah"")))"
"Papua ","Tolikara","67.03","Sedang","3.68","Rendah","9.02","Sedang","  5,397.00 ","Rendah","51.48","=IF(K501>=80,""Sangat Tinggi"",IF(K501>=70,""Tinggi"",IF(K501>=60,""Sedang"",""Rendah"")))"
"Papua ","Sarmi","69.68","Sedang","9.36","Sedang","12.33","Tinggi","  7,204.00 ","Rendah","65.80","=IF(K502>=80,""Sangat Tinggi"",IF(K502>=70,""Tinggi"",IF(K502>=60,""Sedang"",""Rendah"")))"
"Papua ","Keerom","69.73","Sedang","8.57","Sedang","12.46","Tinggi","  9,545.00 ","Sedang","68.08","=IF(K503>=80,""Sangat Tinggi"",IF(K503>=70,""Tinggi"",IF(K503>=60,""Sedang"",""Rendah"")))"
"Papua ","Waropen","69.54","Sedang","9.41","Sedang","12.84","Tinggi","  7,335.00 ","Rendah","66.46","=IF(K504>=80,""Sangat Tinggi"",IF(K504>=70,""Tinggi"",IF(K504>=60,""Sedang"",""Rendah"")))"
"Papua ","Supiori","69.37","Sedang","9.2","Sedang","13.19","Tinggi","  6,259.00 ","Rendah","64.61","=IF(K505>=80,""Sangat Tinggi"",IF(K505>=70,""Tinggi"",IF(K505>=60,""Sedang"",""Rendah"")))"
"Papua ","Mamberamo Raya","68.75","Sedang","6.28","Rendah","11.83","Sedang","  5,105.00 ","Rendah","54.08","=IF(K506>=80,""Sangat Tinggi"",IF(K506>=70,""Tinggi"",IF(K506>=60,""Sedang"",""Rendah"")))"
"Papua ","Nduga","63.88","Rendah","1.71","Rendah","4.33","Rendah","  4,352.00 ","Rendah","35.19","=IF(K507>=80,""Sangat Tinggi"",IF(K507>=70,""Tinggi"",IF(K507>=60,""Sedang"",""Rendah"")))"
"Papua ","Lanny Jaya","67.19","Sedang","3.71","Rendah","9.27","Sedang","  4,751.00 ","Rendah","50.56","=IF(K508>=80,""Sangat Tinggi"",IF(K508>=70,""Tinggi"",IF(K508>=60,""Sedang"",""Rendah"")))"
"Papua ","Mamberamo Tengah","68.93","Sedang","3.63","Rendah","9.62","Sedang","  4,855.00 ","Rendah","50.22","=IF(K509>=80,""Sangat Tinggi"",IF(K509>=70,""Tinggi"",IF(K509>=60,""Sedang"",""Rendah"")))"
"Papua ","Yalimo","65.95","Sedang","3.34","Rendah","9.66","Sedang","  5,015.00 ","Rendah","50.87","=IF(K510>=80,""Sangat Tinggi"",IF(K510>=70,""Tinggi"",IF(K510>=60,""Sedang"",""Rendah"")))"
"Papua ","Puncak","66.77","Sedang","2.19","Rendah","5.59","Rendah","  5,975.00 ","Rendah","44.59","=IF(K511>=80,""Sangat Tinggi"",IF(K511>=70,""Tinggi"",IF(K511>=60,""Sedang"",""Rendah"")))"
"Papua ","Dogiyai","66.49","Sedang","4.97","Rendah","10.62","Sedang","  6,182.00 ","Rendah","56.70","=IF(K512>=80,""Sangat Tinggi"",IF(K512>=70,""Tinggi"",IF(K512>=60,""Sedang"",""Rendah"")))"
"Papua ","Intan Jaya","66.68","Sedang","3.27","Rendah","7.69","Rendah","  6,140.00 ","Rendah","50.19","=IF(K513>=80,""Sangat Tinggi"",IF(K513>=70,""Tinggi"",IF(K513>=60,""Sedang"",""Rendah"")))"
"Papua ","Deiyai","66.52","Sedang","3.27","Rendah","9.85","Sedang","  5,104.00 ","Rendah","51.18","=IF(K514>=80,""Sangat Tinggi"",IF(K514>=70,""Tinggi"",IF(K514>=60,""Sedang"",""Rendah"")))"
"Papua ","Kota Jayapura","71.76","Tinggi","11.84","Tinggi","15.26","Tinggi","  15,272.00 ","Tinggi","81.14","=IF(K515>=80,""Sangat Tinggi"",IF(K515>=70,""Tinggi"",IF(K515>=60,""Sedang"",""Rendah"")))"
